id,title,url,num_points,num_comments,author,created_at
10739227,The Sad State of Personal Knowledgebases,http://marcusvorwaller.com/blog/2015/12/14/personal-knowledgebases/,115,106,zzzmarcus,12/15/2015 17:56
11181546,US Robotics Network Taps,http://www.usr.com/en/products/networking-taps/,1,2,mkj,2/26/2016 14:35
11161191,Fundraising Advice for YC Companies,https://blog.ycombinator.com/fundraising-advice-for-yc-companies,234,100,cryptoz,2/23/2016 18:41
10760605,"PSA: Intel WICS broken for years with official press release, do not buy",https://communities.intel.com/thread/96038,4,1,KyleSanderson,12/18/2015 20:02
12210105,Ask HN: Looking for Employee #3 How do I do it?,,1,3,sph130,8/2/2016 14:20
10394168,Ask HN: Someone offered to buy my browser extension from me. What now?,,28,17,roykolak,10/15/2015 16:38
12424203,Small Indiana county sends more people to prison than San Francisco,http://www.nytimes.com/2016/09/02/upshot/new-geography-of-prisons.html,61,63,GabrielF00,9/4/2016 13:24
10767039,Real-time GIF images,http://github.com/ErikvdVen/php-gif,211,67,erikvdven,12/20/2015 14:01
12356386,Charles River Ventures Puts F*CK Trump on Their Website,http://www.businessinsider.com/charles-river-ventures-puts-fck-trump-on-website-2016-8,3,2,smb06,8/25/2016 1:25
10626668,The reverse job applicant (2010),http://www.reversejobapplication.com/,51,26,sheldor,11/25/2015 11:36
12502122,Bitbucket: Support GitHub-style pages for repositories and teams,https://bitbucket.org/site/master/issues/3932/support-github-style-pages-for,2,1,deevus,9/14/2016 23:32
11939260,Estonia's Tech-Savviness,https://m.mic.com/articles/146542/the-unexpected-story-of-how-this-tiny-country-became-the-most-tech-savvy-on-earth#.PaJNIRo6I,22,12,sethbannon,6/20/2016 16:53
11783331,'The details of your involvement will be gruesome' if you continue suing us,http://www.recode.net/2016/5/26/11792922/gawker-nick-denton-peter-thiel-open-letter,2,2,openmosix,5/27/2016 1:48
10646440,Show HN: Something pointless I made,http://dn.ht/picklecat/,747,102,dhotson,11/29/2015 22:46
12427002,Self-Driving Ubers Appear in San Francisco,http://fortune.com/2016/09/04/self-driving-ubers-san-francisco/,5,2,sjcsjc,9/4/2016 22:22
11037937,Maru turns Android smartphones into portable PCs,http://maruos.com/#/,171,73,dmitrygr,2/4/2016 22:54
10512882,Text of the Trans-Pacific Partnership,http://tpp.mfat.govt.nz/text,755,346,cdubzzz,11/5/2015 12:15
11441625,"Apply HN: CreatorsNest  On-Demand, Private Workspaces for Artists and Creatives",,5,6,LYeo,4/6/2016 20:10
